Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1984","1984","kg/ha","2847.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1985","1985","kg/ha","2126.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1986","1986","kg/ha","1125","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1987","1987","kg/ha","2963","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1988","1988","kg/ha","2635.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1989","1989","kg/ha","2231.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1990","1990","kg/ha","3004.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1991","1991","kg/ha","2264.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1992","1992","kg/ha","2540.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1993","1993","kg/ha","2176.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1994","1994","kg/ha","3024.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1995","1995","kg/ha","1631.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1996","1996","kg/ha","2225.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1997","1997","kg/ha","3029.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1998","1998","kg/ha","2083.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1999","1999","kg/ha","3206.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2000","2000","kg/ha","2634.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2001","2001","kg/ha","2840.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2002","2002","kg/ha","3627.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2003","2003","kg/ha","3532.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2004","2004","kg/ha","3407.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2005","2005","kg/ha","2996.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2006","2006","kg/ha","3604.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2007","2007","kg/ha","4683","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2008","2008","kg/ha","5123.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2009","2009","kg/ha","3988.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2010","2010","kg/ha","4537.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2011","2011","kg/ha","5688.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2012","2012","kg/ha","4987.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2013","2013","kg/ha","5037.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2014","2014","kg/ha","4389.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2015","2015","kg/ha","3858","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2016","2016","kg/ha","4121.3","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2017","2017","kg/ha","4118.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2018","2018","kg/ha","3902.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2019","2019","kg/ha","4006.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2020","2020","kg/ha","4635.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2021","2021","kg/ha","4158.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2022","2022","kg/ha","3421.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","2023","2023","kg/ha","3208.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1961","1961","kg/ha","13984.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1962","1962","kg/ha","14151","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1963","1963","kg/ha","14304.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1964","1964","kg/ha","15692.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1965","1965","kg/ha","15890.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1966","1966","kg/ha","15346.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1967","1967","kg/ha","14749","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1968","1968","kg/ha","15114.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1969","1969","kg/ha","18996","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1970","1970","kg/ha","17816.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1971","1971","kg/ha","17761.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1972","1972","kg/ha","16261.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1973","1973","kg/ha","17594.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1974","1974","kg/ha","18623.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1975","1975","kg/ha","21335.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1976","1976","kg/ha","17991.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1977","1977","kg/ha","18726","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1978","1978","kg/ha","21061.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1979","1979","kg/ha","22345.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1980","1980","kg/ha","23979.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1981","1981","kg/ha","20909","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1982","1982","kg/ha","21763.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1983","1983","kg/ha","22122.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1984","1984","kg/ha","22062.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1985","1985","kg/ha","20596.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1986","1986","kg/ha","19911.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1987","1987","kg/ha","26620.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1988","1988","kg/ha","22067.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1989","1989","kg/ha","23222","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1990","1990","kg/ha","22860.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1991","1991","kg/ha","24220.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1992","1992","kg/ha","26031.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1993","1993","kg/ha","26066.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1994","1994","kg/ha","27865.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1995","1995","kg/ha","25630.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1996","1996","kg/ha","24888.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1997","1997","kg/ha","24727.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1998","1998","kg/ha","27997.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","1999","1999","kg/ha","26236","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2000","2000","kg/ha","27348.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2001","2001","kg/ha","25804.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2002","2002","kg/ha","24199.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2003","2003","kg/ha","25321.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2004","2004","kg/ha","30562.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2005","2005","kg/ha","29358.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2006","2006","kg/ha","30585.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2007","2007","kg/ha","29034.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2008","2008","kg/ha","30924.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2009","2009","kg/ha","31483","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2010","2010","kg/ha","30908.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2011","2011","kg/ha","31984.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2012","2012","kg/ha","30993.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2013","2013","kg/ha","36213.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2014","2014","kg/ha","41617.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2015","2015","kg/ha","34776.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2016","2016","kg/ha","39185.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2017","2017","kg/ha","39456.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2018","2018","kg/ha","39496.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2019","2019","kg/ha","42149.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2020","2020","kg/ha","38971.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2021","2021","kg/ha","37694.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2022","2022","kg/ha","36984.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01341","Apples","2023","2023","kg/ha","42847.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1961","1961","kg/ha","10714.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1962","1962","kg/ha","9673","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1963","1963","kg/ha","11558.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1964","1964","kg/ha","12456","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1965","1965","kg/ha","13261.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1966","1966","kg/ha","11563.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1967","1967","kg/ha","8964","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1968","1968","kg/ha","9168.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1969","1969","kg/ha","14078.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1970","1970","kg/ha","11537.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1971","1971","kg/ha","12981.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1972","1972","kg/ha","9290.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1973","1973","kg/ha","12077.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1974","1974","kg/ha","7037.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1975","1975","kg/ha","13827.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1976","1976","kg/ha","12206.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1977","1977","kg/ha","11719.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1978","1978","kg/ha","10140.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1979","1979","kg/ha","13029.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1980","1980","kg/ha","11656.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1981","1981","kg/ha","8600.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1982","1982","kg/ha","11783.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1983","1983","kg/ha","9565.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1984","1984","kg/ha","13639.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1985","1985","kg/ha","14684.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1986","1986","kg/ha","6254.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1987","1987","kg/ha","13359.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1988","1988","kg/ha","11904.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1989","1989","kg/ha","14379.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1990","1990","kg/ha","14971","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1991","1991","kg/ha","11450.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1992","1992","kg/ha","12175.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1993","1993","kg/ha","10497.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1994","1994","kg/ha","16130.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1995","1995","kg/ha","6400.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1996","1996","kg/ha","8237.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1997","1997","kg/ha","14585.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1998","1998","kg/ha","12423.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","1999","1999","kg/ha","9953.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2000","2000","kg/ha","10657.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2001","2001","kg/ha","9547.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2002","2002","kg/ha","11640.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2003","2003","kg/ha","13224.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2004","2004","kg/ha","15275.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2005","2005","kg/ha","13130.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2006","2006","kg/ha","7640.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2007","2007","kg/ha","15676.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2008","2008","kg/ha","14695.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2009","2009","kg/ha","12473.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2010","2010","kg/ha","12247.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2011","2011","kg/ha","12607.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2012","2012","kg/ha","12008.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2013","2013","kg/ha","12609.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2014","2014","kg/ha","13450.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2015","2015","kg/ha","9707.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2016","2016","kg/ha","13058.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2017","2017","kg/ha","9061.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2018","2018","kg/ha","8363.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2019","2019","kg/ha","11994.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2020","2020","kg/ha","8271","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2021","2021","kg/ha","12254.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2022","2022","kg/ha","10353.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01343","Apricots","2023","2023","kg/ha","13519.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1961","1961","kg/ha","6724.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1962","1962","kg/ha","6165.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1963","1963","kg/ha","6726","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1964","1964","kg/ha","7291.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1965","1965","kg/ha","7846.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1966","1966","kg/ha","8412","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1967","1967","kg/ha","8523","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1968","1968","kg/ha","6725.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1969","1969","kg/ha","7291.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1970","1970","kg/ha","6838","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1971","1971","kg/ha","8071","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1972","1972","kg/ha","7169.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1973","1973","kg/ha","5604.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1974","1974","kg/ha","7284.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1975","1975","kg/ha","8065.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1976","1976","kg/ha","8521.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1977","1977","kg/ha","7399","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1978","1978","kg/ha","5944.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1979","1979","kg/ha","10088.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1980","1980","kg/ha","11441.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1981","1981","kg/ha","14649.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1982","1982","kg/ha","11370.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1983","1983","kg/ha","8448.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1984","1984","kg/ha","9966","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1985","1985","kg/ha","12464.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1986","1986","kg/ha","8824.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1987","1987","kg/ha","12257.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1988","1988","kg/ha","11744.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1989","1989","kg/ha","12736.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1990","1990","kg/ha","12589.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01216","Artichokes","1991","1991","kg/ha","13796.8","A","Official figure",""
